Time (s);Fᵧ (N) --sensor: Force --remote: 1 --Run1;Fᵧ (N) --sensor: Force --remote: 1 --Run2;Fᵧ (N) --sensor: Force --remote: 1 --Run3;Fᵧ (N) --sensor: Force --remote: 1 --Run4;Fᵧ (N) --sensor: Force --remote: 1 --Run5;rᵧ (m) --sensor: Wheel Position --remote: 1 --Run1;rᵧ (m) --sensor: Wheel Position --remote: 1 --Run2;rᵧ (m) --sensor: Wheel Position --remote: 1 --Run3;rᵧ (m) --sensor: Wheel Position --remote: 1 --Run4;rᵧ (m) --sensor: Wheel Position --remote: 1 --Run5
0.2320000000;-0.3034652596;-0.2568782346;-0.0239431091;-0.0233679607;-0.2908119936;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.2419354839;-0.2967791588;-0.2611199544;-0.0360212268;-0.0310066511;-0.2984506840;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.2518750000;-0.3034652596;-0.2499764531;-0.0181916246;-0.0360212268;-0.2904982762;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.2618181818;-0.3034652596;-0.2499764531;-0.0181916246;-0.0313016262;-0.3034652596;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.2717647059;-0.3095782661;-0.2678060553;-0.0181916246;-0.0181916246;-0.3034652596;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.2817142857;-0.3034652596;-0.2678060553;-0.0181916246;-0.0181916246;-0.3034652596;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.2916666667;-0.3092478333;-0.2678060553;-0.0230104360;-0.0225285548;-0.3034652596;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.3016216216;-0.3034652596;-0.2678060553;-0.0228836251;-0.0360212268;-0.3034652596;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.3115789474;-0.3034652596;-0.2678060553;-0.0181916246;-0.0181916246;-0.3034652596;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.3215384615;-0.3034652596;-0.2731549359;-0.0181916246;-0.0181916246;-0.3034652596;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.3315000000;-0.3034652596;-0.2678060553;-0.0181916246;-0.0181916246;-0.3034652596;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.3414634146;-0.3034652596;-0.2729002273;-0.0317760834;-0.0360212268;-0.3034652596;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.3514285714;-0.3034652596;-0.2856356575;-0.0181916246;-0.0360212268;-0.3034652596;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.3613953488;-0.3034652596;-0.2856356575;-0.0181916246;-0.0181916246;-0.3034652596;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.3713636364;-0.3034652596;-0.2856356575;-0.0181916246;-0.0217575450;-0.3177289414;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.3813333333;-0.3034652596;-0.2902868580;-0.0181916246;-0.0325328263;-0.3034652596;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.3913043478;-0.3034652596;-0.2856356575;-0.0181916246;-0.0181916246;-0.3034652596;0.0000000000;-0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.4012765957;-0.3034652596;-0.2856356575;-0.0181916246;-0.0181916246;-0.3179518114;0.0000000000;-0.0008748042;0.0000000000;0.0000000000;-0.0014149940
0.4112500000;-0.2990988265;-0.2900020906;-0.0181916246;-0.0327464019;-0.3034652596;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-0.0014149940
0.4212244898;-0.3034652596;-0.3034652596;-0.0181916246;-0.0214009530;-0.3034652596;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-0.0014149940
0.4312000000;-0.3034652596;-0.3034652596;-0.0181916246;-0.0213380250;-0.3181484615;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-0.0014149940
0.4411764706;-0.3075797832;-0.3034652596;-0.0181916246;-0.0360212268;-0.3065511523;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-0.0014149940
0.4511538462;-0.3034652596;-0.3034652596;-0.0215557005;-0.0360212268;-0.3064929279;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-0.0014149940
0.4611320755;-0.3074273935;-0.3034652596;-0.0327194486;-0.0181916246;-0.3212948618;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-0.0014149940
0.4711111111;-0.3034652596;-0.3034652596;-0.0360212268;-0.0360212268;-0.3212948618;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-0.0014149940
0.4810909091;-0.3072858887;-0.3212948618;-0.0213754821;-0.0360212268;-0.3184293901;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-0.0014149940
0.4910714286;-0.3034652596;-0.3072188601;-0.0360212268;-0.0360212268;-0.3184796615;0.0000000000;0.0001052396;0.0000000000;0.0000000000;-0.0014149940
0.5010526316;-0.3071541429;-0.3212948618;-0.0212656939;-0.0360212268;-0.3062319221;0.0000000000;0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.5110344828;-0.3212948618;-0.3212948618;-0.0360212268;-0.0333014569;-0.3212948618;0.0000000000;0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.5210169492;-0.3177289414;-0.3212948618;-0.0211632249;-0.0208660649;-0.3364500237;0.0000000000;0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.5310000000;-0.3212948618;-0.3104801851;-0.0330983412;-0.0333906297;-0.3212948618;0.0000000000;0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.5409836066;-0.3212948618;-0.3212948618;-0.0181916246;-0.0207797926;-0.3238830299;0.0000000000;0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.5509677419;-0.3212948618;-0.3212948618;-0.0181916246;-0.0360212268;-0.3391244640;0.0000000000;0.0009997762;0.0000000000;0.0000000000;-0.0014149940
0.5609523810;-0.3068083101;-0.3212948618;-0.0181916246;-0.0360212268;-0.3263094375;0.0000000000;0.0010935052;0.0000000000;0.0000000000;-0.0014149940
0.5709375000;-0.3212948618;-0.3212948618;-0.0181916246;-0.0181916246;-0.3391244640;0.0000000000;0.0019995524;0.0000000000;0.0000000000;-0.0014149940
0.5809230769;-0.3212948618;-0.3391244640;-0.0181916246;-0.0206229340;-0.3391244640;0.0000908779;0.0019995524;0.0000000000;0.0000000000;-0.0014149940
0.5909090909;-0.3212948618;-0.3244882234;-0.0181916246;-0.0360212268;-0.3391244640;0.0009996571;0.0019995524;0.0000000000;0.0000000000;-0.0014149940
0.6008955224;-0.3359780636;-0.3391244640;-0.0181916246;-0.0360212268;-0.3545942659;0.0009996571;0.0019995524;0.0000000000;0.0000000000;-0.0014149940
0.6108823529;-0.3212948618;-0.3538532658;-0.0181916246;-0.0336956265;-0.3391244640;0.0009996571;0.0020864894;0.0000000000;0.0000000000;-0.0014149940
0.6208695652;-0.3360679608;-0.3391244640;-0.0207387106;-0.0181916246;-0.3391244640;0.0009996571;0.0029993286;0.0000000000;0.0000000000;-0.0014149940
0.6308571429;-0.3212948618;-0.3569540662;-0.0207028361;-0.0204517150;-0.3391244640;0.0009996571;0.0029993286;0.0000000000;0.0000000000;-0.0014149940
0.6408450704;-0.3212948618;-0.3420960644;-0.0360212268;-0.0204203248;-0.3391244640;0.0009996571;0.0029993286;0.0000000000;0.0000000000;-0.0014149940
0.6508333333;-0.3212948618;-0.3569540662;-0.0181916246;-0.0360212268;-0.3547558961;0.0009996571;0.0029993286;0.0000000000;0.0000000000;-0.0014149940
0.6608219178;-0.3241861487;-0.3598453531;-0.0181916246;-0.0338527616;-0.3412929292;0.0009996571;0.0029993286;0.0000000000;0.0000000000;-0.0014149940
0.6708108108;-0.3362717277;-0.3719309321;-0.0360212268;-0.0181916246;-0.3548145140;0.0009996571;0.0030793107;0.0000000000;0.0000000000;-0.0014149940
0.6808000000;-0.3241100622;-0.3747836684;-0.0205376249;-0.0203030248;-0.3548426660;0.0009996571;0.0039991047;0.0000000000;0.0000000000;-0.0014149940
0.6907894737;-0.3391244640;-0.3747836684;-0.0181916246;-0.0360212268;-0.3412084435;0.0009996571;0.0039991047;0.0000000000;0.0000000000;-0.0014149940
0.7007792208;-0.3240378776;-0.3747836684;-0.0181916246;-0.0360212268;-0.3391244640;0.0010765538;0.0040760106;0.0000000000;0.0000000000;-0.0014149940
0.7107692308;-0.3391244640;-0.3926132706;-0.0337643151;-0.0360212268;-0.3569540662;0.0019993141;0.0049988809;0.0000000000;0.0000000000;-0.0014149940
0.7207594937;-0.3391244640;-0.3774581087;-0.0181916246;-0.0360212268;-0.3569540662;0.0019993141;0.0049988809;0.0000000000;0.0000000000;-0.0014149940
0.7307500000;-0.3391244640;-0.3926132706;-0.0181916246;-0.0360212268;-0.3569540662;0.0019993141;0.0049988809;0.0000000000;0.0000000000;-0.0014149940
0.7407407407;-0.3391244640;-0.3926132706;-0.0181916246;-0.0360212268;-0.3747836684;0.0019993141;0.0050720353;0.0000000000;0.0000000000;-0.0014149940
0.7507317073;-0.3391244640;-0.3926132706;-0.0181916246;-0.0360212268;-0.3569540662;0.0019993141;0.0059986571;0.0000000000;0.0000000000;-0.0014029606
0.7607228916;-0.3391244640;-0.3951603566;-0.0181916246;-0.0360212268;-0.3588643807;0.0019993141;0.0059986571;0.0000000000;0.0000000000;-0.0003521478
0.7707142857;-0.3391244640;-0.4104428728;-0.0181916246;-0.0360212268;-0.3569540662;0.0019993141;0.0059986571;0.0000000000;0.0000000000;-0.0003521478
0.7807058824;-0.3544662148;-0.4104428728;-0.0181916246;-0.0341553382;-0.3588199548;0.0019993141;0.0060684089;0.0000000000;0.0000000000;-0.0003521478
0.7906976744;-0.3391244640;-0.4104428728;-0.0181916246;-0.0181916246;-0.3569540662;0.0019993141;0.0069984333;0.0000000000;0.0000000000;-0.0003521478
0.8006896552;-0.3569540662;-0.4104428728;-0.0181916246;-0.0200151066;-0.3747836684;0.0020674726;0.0069984333;0.0000000000;0.0000000000;-0.0003521478
0.8106818182;-0.3391244640;-0.4104428728;-0.0181916246;-0.0199946181;-0.3747836684;0.0029989712;0.0069984333;0.0000000000;0.0000000000;-0.0003521478
0.8206741573;-0.3569540662;-0.4128201531;-0.0181916246;-0.0360212268;-0.3747836684;0.0029989712;0.0069984333;0.0000000000;0.0000000000;-0.0003410503
0.8306666667;-0.3569540662;-0.4259213187;-0.0181916246;-0.0199549918;-0.3747836684;0.0029989712;0.0069984333;0.0000000000;0.0000000000;0.0007054256
0.8406593407;-0.3569540662;-0.4127684731;-0.0181916246;-0.0181916246;-0.3908690704;0.0029989712;0.0069984333;0.0000000000;0.0000000000;0.0007054256
0.8506521739;-0.3569540662;-0.4282724750;-0.0201087861;-0.0199170699;-0.3747836684;0.0029989712;0.0069984333;0.0000000000;0.0000000000;0.0007054256
0.8606451613;-0.3569540662;-0.4282724750;-0.0200883908;-0.0360212268;-0.3909061810;0.0029989712;0.0070622488;0.0000000000;0.0000000000;0.0007054256
0.8706382979;-0.3569540662;-0.4282724750;-0.0341444265;-0.0360212268;-0.3909241504;0.0029989712;0.0079982095;0.0000000000;0.0000000000;0.0007054256
0.8806315789;-0.3569540662;-0.4305011753;-0.0181916246;-0.0360212268;-0.3926132706;0.0029989712;0.0079982095;0.0000000000;0.0000000000;0.0007158296
0.8906250000;-0.3725779444;-0.4438963532;-0.0181916246;-0.0198459176;-0.3926132706;0.0029989712;0.0079982095;0.0000000000;0.0000000000;0.0017694219
0.9006185567;-0.3569540662;-0.4282724750;-0.0181916246;-0.0343838143;-0.3926132706;0.0029989712;0.0080594203;0.0000000000;0.0000000000;0.0028122281
0.9106122449;-0.3569540662;-0.4461020772;-0.0199925945;-0.0344003538;-0.3926132706;0.0029989712;0.0089979857;0.0000000000;0.0000000000;0.0028122281
0.9206060606;-0.3569540662;-0.4461020772;-0.0181916246;-0.0360212268;-0.4088382086;0.0029989712;0.0089979857;0.0000000000;0.0000000000;0.0028122281
0.9306000000;-0.3747836684;-0.4461020772;-0.0342559196;-0.0360212268;-0.4088540964;0.0030583568;0.0089979857;0.0000000000;0.0000000000;0.0028122281
0.9405940594;-0.3747836684;-0.4461020772;-0.0199396248;-0.0360212268;-0.4104428728;0.0039986283;0.0089979857;0.0000000000;0.0000000000;0.0028220202
0.9505882353;-0.3727064332;-0.4461020772;-0.0181916246;-0.0197495510;-0.4104428728;0.0039986283;0.0089979857;0.0000000000;0.0000000000;0.0038625329
0.9605825243;-0.3590113280;-0.4481593390;-0.0181916246;-0.0360212268;-0.4104428728;0.0039986283;0.0089979857;0.0000000000;0.0000000000;0.0038625329
0.9705769231;-0.3926132706;-0.4461020772;-0.0181916246;-0.0360212268;-0.4104428728;0.0039986283;0.0089979857;0.0000000000;0.0000000000;0.0038625329
0.9805714286;-0.3747836684;-0.4461020772;-0.0181916246;-0.0523369948;-0.4104428728;0.0039986283;0.0090545768;0.0000000000;0.0000000000;0.0038625329
0.9905660377;-0.3747836684;-0.4639316794;-0.0343549088;-0.0360212268;-0.4119425590;0.0039986283;0.0099977619;0.0000000000;0.0000000000;0.0038625329
1.0005607477;-0.3747836684;-0.4639316794;-0.0198425137;-0.0523650288;-0.4267866748;0.0039986283;0.0099977619;0.0000000000;0.0000000000;0.0038625329
1.0105555556;-0.3747836684;-0.4480649692;-0.0343854834;-0.0523786600;-0.4282724750;0.0040536553;0.0099977619;0.0000000000;0.0000000000;0.0038625329
1.0205504587;-0.3926132706;-0.4639316794;-0.0181916246;-0.0360212268;-0.4268136894;0.0049982853;0.0099977619;0.0000000000;0.0000000000;0.0038625329
1.0305454545;-0.3767111930;-0.4658592039;-0.0181916246;-0.0360212268;-0.4118885162;0.0049982853;0.0099977619;0.0000000000;0.0000000000;0.0038625329
1.0405405405;-0.3926132706;-0.4817612816;-0.0181916246;-0.0196243605;-0.4268397391;0.0049982853;0.0100513213;0.0000000000;0.0000000000;0.0038714508
1.0505357143;-0.4085494637;-0.4817612816;-0.0181916246;-0.0360212268;-0.4282724750;0.0049982853;0.0109975380;0.0000000000;0.0000000000;0.0049080260
1.0605309735;-0.3944900708;-0.4817612816;-0.0344572266;-0.0360212268;-0.4282724750;0.0049982853;0.0109975380;0.0000000000;0.0000000000;0.0049080260
1.0705263158;-0.4085823926;-0.4817612816;-0.0344708266;-0.0360212268;-0.4282724750;0.0049982853;0.0109975380;0.0000000000;0.0000000000;0.0049080260
1.0805217391;-0.4085984312;-0.4817612816;-0.0197286592;-0.0360212268;-0.4282724750;0.0050499917;0.0109975380;0.0000000000;0.0000000000;0.0049080260
1.0905172414;-0.3926132706;-0.4817612816;-0.0344973291;-0.0195631324;-0.4282724750;0.0059979424;0.0109975380;0.0000000000;0.0000000000;0.0049080260
1.1005128205;-0.4104428728;-0.4817612816;-0.0345102435;-0.0360212268;-0.4282724750;0.0059979424;0.0109975380;0.0000000000;0.0000000000;0.0049164905
1.1105084746;-0.4104428728;-0.4995908838;-0.0360212268;-0.0360212268;-0.4282724750;0.0059979424;0.0109975380;0.0000000000;0.0000000000;0.0059510409
1.1205042017;-0.4104428728;-0.4995908838;-0.0360212268;-0.0346840066;-0.4461020772;0.0060479252;0.0109975380;0.0000000000;0.0000000000;0.0059510409
1.1305000000;-0.4104428728;-0.4835295066;-0.0345477059;-0.0181916246;-0.4461020772;0.0069975995;0.0109975380;0.0000000000;0.0000000000;0.0059510409
1.1404958678;-0.4121966042;-0.4995908838;-0.0345597840;-0.0195069231;-0.4295877735;0.0069975995;0.0110467074;0.0000000000;0.0000000000;0.0059510409
1.1504918033;-0.4265330016;-0.4995908838;-0.0181916246;-0.0360212268;-0.4461020772;0.0069975995;0.0119973142;0.0000000000;0.0000000000;0.0059510409
1.1604878049;-0.4104428728;-0.4995908838;-0.0181916246;-0.0360212268;-0.4295665590;0.0069975995;0.0119973142;0.0000000000;0.0000000000;0.0059510409
1.1704838710;-0.4282724750;-0.5157088441;-0.0181916246;-0.0194753559;-0.4461020772;0.0069975995;0.0119973142;0.0000000000;0.0000000000;0.0059510409
1.1804800000;-0.4282724750;-0.5012889411;-0.0196066724;-0.0347476838;-0.4461020772;0.0069975995;0.0119973142;0.0000000000;0.0000000000;0.0059510409
1.1904761905;-0.4282724750;-0.5157357991;-0.0360212268;-0.0360212268;-0.4461020772;0.0070448273;0.0120445478;0.0000000000;0.0000000000;0.0059510409
1.2004724409;-0.4299440002;-0.5012624090;-0.0195845622;-0.0360212268;-0.4473557211;0.0079972565;0.0129970904;0.0000000000;0.0000000000;0.0059510409
1.2104687500;-0.4444435095;-0.5157619183;-0.0181916246;-0.0181916246;-0.4461020772;0.0079972565;0.0129970904;0.0000000000;0.0000000000;0.0059510409
1.2204651163;-0.4444562678;-0.5157746765;-0.0181916246;-0.0194259816;-0.4461020772;0.0080433945;0.0129970904;0.0000000000;0.0000000000;0.0059510409
1.2304615385;-0.4299057210;-0.5157872400;-0.0017230607;-0.0194165591;-0.4461020772;0.0089969136;0.0129970904;0.0000000000;0.0000000000;0.0059510409
1.2404580153;-0.4623108065;-0.5174204860;-0.0195423520;-0.0194072793;-0.4461020772;0.0089969136;0.0129970904;0.0000000000;0.0000000000;0.0059510409
1.2504545455;-0.4461020772;-0.5174204860;-0.0346806552;-0.0360212268;-0.4461020772;0.0089969136;0.0130421931;0.0000000000;0.0000000000;0.0059510409
1.2604511278;-0.4623349986;-0.5174204860;-0.0181916246;-0.0360212268;-0.4461020772;0.0089969136;0.0139968666;0.0000000000;0.0000000000;0.0059510409
1.2704477612;-0.4639316794;-0.5174204860;-0.0181916246;-0.0360212268;-0.4639316794;0.0090413428;0.0139968666;0.0000000000;0.0000000000;0.0059510409
1.2804444444;-0.4639316794;-0.5336768880;-0.0181916246;-0.0360212268;-0.4461020772;0.0099965706;0.0139968666;0.0000000000;0.0000000000;0.0059510409
1.2904411765;-0.4639316794;-0.5352500881;-0.0181916246;-0.0360212268;-0.4627603916;0.0099965706;0.0139968666;0.0000000000;0.0000000000;0.0059583315
1.3004379562;-0.4639316794;-0.5336996880;-0.0181916246;-0.0360212268;-0.4472648773;0.0099965706;0.0139968666;0.0000000000;0.0000000000;0.0069876943
1.3104347826;-0.4639316794;-0.5189597322;-0.0181916246;-0.0348667921;-0.4472565119;0.0100397213;0.0140400224;0.0000000000;0.0000000000;0.0069876943
1.3204316547;-0.4654599310;-0.5352500881;-0.0181916246;-0.0348750381;-0.4639316794;0.0109962277;0.0149966428;0.0000000000;0.0000000000;0.0069876943
1.3304285714;-0.4639316794;-0.5352500881;-0.0181916246;-0.0360212268;-0.4639316794;0.0109962277;0.0149966428;0.0000000000;0.0000000000;0.0069876943
1.3404255319;-0.4817612816;-0.5367568151;-0.0181916246;-0.0348911816;-0.4639316794;0.0109962277;0.0149966428;0.0000000000;0.0000000000;0.0069876943
1.3504225352;-0.4817612816;-0.5530796903;-0.0181916246;-0.0193137674;-0.4639316794;0.0109962277;0.0149966428;0.0000000000;0.0000000000;0.0069876943
1.3604195804;-0.4817612816;-0.5530796903;-0.0347830599;-0.0181916246;-0.4639316794;0.0109962277;0.0149966428;0.0000000000;0.0000000000;0.0069876943
1.3704166667;-0.4817612816;-0.5367256414;-0.0181916246;-0.0349145618;-0.4639316794;0.0109962277;0.0149966428;0.0000000000;0.0000000000;0.0069876943
1.3804137931;-0.4817612816;-0.5352500881;-0.0181916246;-0.0181916246;-0.4639316794;0.0109962277;0.0149966428;0.0000000000;0.0000000000;0.0069945355
1.3904109589;-0.4995908838;-0.5530796903;-0.0181916246;-0.0360212268;-0.4639316794;0.0109962277;0.0149966428;0.0000000000;0.0000000000;0.0080219327
1.4004081633;-0.4995908838;-0.5530796903;-0.0181916246;-0.0360212268;-0.4639316794;0.0110367543;0.0149966428;0.0000000000;0.0000000000;0.0080219327
1.4104054054;-0.4817612816;-0.5530796903;-0.0181916246;-0.0181916246;-0.4650086352;0.0119958848;0.0149966428;0.0000000000;0.0000000000;0.0080219327
1.4204026846;-0.4995908838;-0.5530796903;-0.0360212268;-0.0192614007;-0.4806915054;0.0119958848;0.0149966428;0.0000000000;0.0000000000;0.0080219327
1.4304000000;-0.4995908838;-0.5530796903;-0.0348404584;-0.0192543161;-0.4817612816;0.0119958848;0.0149966428;0.0000000000;0.0000000000;0.0080219327
1.4403973510;-0.5160128858;-0.5530796903;-0.0193646247;-0.0360212268;-0.4817612816;0.0119958848;0.0150361076;0.0000000000;0.0000000000;0.0080219327
1.4503947368;-0.5009892839;-0.5544780905;-0.0348558933;-0.0349724266;-0.4807124814;0.0120350870;0.0159964190;0.0000000000;0.0000000000;0.0080219327
1.4603921569;-0.5174204860;-0.5709092925;-0.0181916246;-0.0192336143;-0.4817612816;0.0129955418;0.0159964190;0.0000000000;0.0000000000;0.0080219327
1.4703896104;-0.5174204860;-0.5544600466;-0.0181916246;-0.0349859595;-0.4817612816;0.0129955418;0.0159964190;0.0000000000;0.0000000000;0.0080219327
1.4803870968;-0.5160489781;-0.5709092925;-0.0181916246;-0.0360212268;-0.4817612816;0.0129955418;0.0159964190;0.0000000000;0.0000000000;0.0080219327
1.4903846154;-0.5009536559;-0.5709092925;-0.0360212268;-0.0192137037;-0.4817612816;0.0129955418;0.0159964190;0.0000000000;0.0000000000;0.0080219327
1.5003821656;-0.5174204860;-0.5709092925;-0.0181916246;-0.0350056165;-0.4827768918;0.0129955418;0.0159964190;0.0000000000;0.0000000000;0.0080282543
1.5103797468;-0.5174204860;-0.5544253207;-0.0193129832;-0.0360212268;-0.4985816610;0.0129955418;0.0159964190;0.0000000000;0.0000000000;0.0090533932
1.5203773585;-0.5174204860;-0.5709092925;-0.0360212268;-0.0191945397;-0.4827641967;0.0129955418;0.0159964190;0.0000000000;0.0000000000;0.0090533932
1.5303750000;-0.5174204860;-0.5709092925;-0.0349137981;-0.0191883104;-0.4995908838;0.0130327961;0.0160336777;0.0000000000;0.0000000000;0.0090533932
1.5403726708;-0.5352500881;-0.5874181835;-0.0181916246;-0.0360212268;-0.4986003503;0.0139951989;0.0169961952;0.0000000000;0.0000000000;0.0090533932
1.5503703704;-0.5174204860;-0.5874262860;-0.0181916246;-0.0191760811;-0.4995908838;0.0139951989;0.0169961952;0.0000000000;0.0000000000;0.0090533932
