Time (s);Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run1;Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run2;Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run3;Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run4;Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run5;Fᵧ (N) --sensor: Force --remote: 1 --Run1;Fᵧ (N) --sensor: Force --remote: 1 --Run2;Fᵧ (N) --sensor: Force --remote: 1 --Run3;Fᵧ (N) --sensor: Force --remote: 1 --Run4;Fᵧ (N) --sensor: Force --remote: 1 --Run5;rᵧ (m) --sensor: Wheel Position --remote: 1 --Run1;rᵧ (m) --sensor: Wheel Position --remote: 1 --Run2;rᵧ (m) --sensor: Wheel Position --remote: 1 --Run3;rᵧ (m) --sensor: Wheel Position --remote: 1 --Run4;rᵧ (m) --sensor: Wheel Position --remote: 1 --Run5
0.0454545455;-8.6421675154;-8.4559153223;-8.4494055369;-8.4146866815;-8.4671266194;-1.7640342911;-3.1694915184;-3.2402452303;-3.2828348432;-3.1327408040;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.0550000000;-8.8804284427;-8.4680585758;-8.4307107686;-8.4469435027;-8.4653044359;-1.7624490698;-3.1694915184;-3.2382901240;-3.2828348432;-3.1323973394;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.0646153846;-9.0021173155;-8.4604876716;-8.4192590308;-8.4676174365;-8.4694773752;-1.7590295210;-3.1677251290;-3.2374975133;-3.2828348432;-3.1323973394;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.0742857143;-8.8895393602;-8.4603636757;-8.4186287182;-8.4942507252;-8.4774337796;-1.7578519280;-3.1678428883;-3.2384592142;-3.2828348432;-3.1323973394;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.0840000000;-8.6655846601;-8.4591702150;-8.4271637702;-8.5073155028;-8.4772077454;-1.7578519280;-3.1658851399;-3.2385279072;-3.2848956309;-3.1311093471;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.0937500000;-8.2929154019;-8.4518307511;-8.4415235909;-8.4992500702;-8.4755404106;-1.7578519280;-3.1653699430;-3.2395583010;-3.2848956309;-3.1303365517;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.1035294118;-7.9559276389;-8.4555536676;-8.4523590507;-8.4815928091;-8.4694773752;-1.7599127157;-3.1653699430;-3.2416190887;-3.2848956309;-3.1303365517;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.1133333333;-7.8163003561;-8.4682211008;-8.4473212635;-8.4686493762;-8.4669933782;-1.7619735034;-3.1674307307;-3.2416190887;-3.2848956309;-3.1282757640;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.1231578947;-7.8686784319;-8.4779400962;-8.4412683052;-8.4635100719;-8.4678499289;-1.7619735034;-3.1694915184;-3.2436798765;-3.2838652371;-3.1282757640;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.1330000000;-7.9791768724;-8.4881542595;-8.4426632592;-8.4666874672;-8.4719056285;-1.7619735034;-3.1694915184;-3.2436798765;-3.2828348432;-3.1303365517;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.1428571429;-7.9843997305;-8.4956151499;-8.4621292084;-8.4688855765;-8.4726336348;-1.7619735034;-3.1674307307;-3.2429304991;-3.2828348432;-3.1293998300;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.1527272727;-7.9511475066;-8.4951863103;-8.4864594241;-8.4785108818;-8.4783221923;-1.7640342911;-3.1653699430;-3.2416190887;-3.2828348432;-3.1291717586;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.1626086957;-7.9336406653;-8.4816832228;-8.5070894686;-8.4852093566;-8.4721897858;-1.7655174338;-3.1643395491;-3.2395583010;-3.2828348432;-3.1303365517;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.1725000000;-7.8332543498;-8.4535284010;-8.5309948471;-8.4841243923;-8.4720812894;-1.7669193940;-3.1612483675;-3.2395583010;-3.2828348432;-3.1303365517;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.1824000000;-7.6696083601;-8.4431043985;-8.5412936615;-8.4805773939;-8.4728574561;-1.7738626634;-3.1601387126;-3.2416190887;-3.2828348432;-3.1323973394;0.0012926473;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.1923076923;-7.5505729468;-8.4426546484;-8.5356601933;-8.4828184169;-8.4722098777;-1.7812838476;-3.1601034855;-3.2436798765;-3.2828348432;-3.1344581271;0.0012926473;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.2022222222;-7.4332202878;-8.4440194645;-8.5340327470;-8.4823032024;-8.4644400413;-1.7881749473;-3.1579363873;-3.2442686730;-3.2828348432;-3.1344581271;0.0025581761;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.2121428571;-7.3692114066;-8.4671241672;-8.5278970872;-8.4853964194;-8.4747712524;-1.7970779564;-3.1606375568;-3.2457406642;-3.2828348432;-3.1316867230;0.0038119143;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.2220689655;-7.4170620705;-8.5117186493;-8.5126589516;-8.4861134934;-8.4729130953;-1.8066239041;-3.1625535331;-3.2457406642;-3.2828348432;-3.1282757640;0.0038119143;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.2320000000;-7.5528925925;-8.5239572286;-8.5096210518;-8.4812894858;-8.4853143531;-1.8148227370;-3.1612483675;-3.2457406642;-3.2828348432;-3.1276109937;0.0050449009;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.2419354839;-7.7001699247;-8.5385082245;-8.5108416365;-8.4701215727;-8.5078579849;-1.8236683359;-3.1599603752;-3.2457406642;-3.2828348432;-3.1262149762;0.0062687090;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.2518750000;-7.8487463239;-8.5594800899;-8.5138293979;-8.4572961859;-8.5287229978;-1.8359745171;-3.1633091553;-3.2457406642;-3.2828348432;-3.1268394574;0.0074840185;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.2618181818;-7.9876256135;-8.5587954600;-8.5257838278;-8.4457358050;-8.5320223721;-1.8482841422;-3.1619757044;-3.2457406642;-3.2828348432;-3.1288818780;0.0086914363;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.2717647059;-8.0884224376;-8.5353192046;-8.5194942263;-8.4410358129;-8.5437974251;-1.8600081194;-3.1612483675;-3.2457406642;-3.2828348432;-3.1303365517;0.0098915067;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.2817142857;-8.1830769559;-8.5016646474;-8.5108416365;-8.4367174830;-8.5698365666;-1.8714242292;-3.1639960845;-3.2457406642;-3.2828348432;-3.1318248984;0.0122779325;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.2916666667;-8.2561059635;-8.4692574500;-8.5046654043;-8.4397728140;-8.6474261709;-1.8857878577;-3.1653699430;-3.2457406642;-3.2854526006;-3.1277187943;0.0134647302;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.3016216216;-8.2818927699;-8.4422676144;-8.4934750709;-8.4685351694;-8.7635597854;-1.8996124308;-3.1653699430;-3.2457406642;-3.2874987312;-3.1246965011;0.0146455138;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.3115789474;-8.2523593407;-8.4409483798;-8.4826082244;-8.4832063457;-9.1487484430;-1.9139962285;-3.1639432438;-3.2457406642;-3.2910779941;-3.1230973743;0.0158206477;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.3215384615;-8.2421773687;-8.4492699164;-8.4713353765;-8.4959505025;-10.0795778571;-1.9309580967;-3.1674307307;-3.2457406642;-3.2931387818;-3.1138502499;0.0181602808;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.3315000000;-8.2644852918;-8.4588526645;-8.4597656222;-8.4935450574;-11.4119532966;-1.9473941354;-3.1674307307;-3.2457406642;-3.2926361507;-3.0999776301;0.0193250839;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.3414634146;-8.3607097110;-8.4535516502;-8.4365667935;-8.4785833250;-12.7241646097;-1.9617717798;-3.1647811465;-3.2457406642;-3.2890172064;-3.0846066908;0.0204851520;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.3514285714;-8.4372438448;-8.4620087842;-8.4059060408;-8.4619457049;-13.9502625025;-1.9782124385;-3.1653699430;-3.2457406642;-3.2885379534;-3.0615158268;0.0227963301;0.0000000000;0.0000000000;0.0000000000;-0.0023069945
0.3613953488;-8.5529456462;-8.4666293441;-8.4096440637;-8.4554591442;-14.7918598525;-1.9941868110;-3.1633091553;-3.2457406642;-3.2864880578;-3.0384441537;0.0239476759;0.0000000000;0.0000000000;0.0000000000;-0.0046055177
0.3713636364;-8.6347174277;-8.4834975241;-8.4215340113;-8.4542878760;-14.7078047145;-2.0110998415;-3.1633091553;-3.2457406642;-3.2848956309;-3.0117267694;0.0250949959;0.0000000000;0.0000000000;0.0000000000;-0.0068960042
0.3813333333;-8.7343501648;-8.5223104161;-8.4283194929;-8.4636044167;-14.4738935020;-2.0275463213;-3.1612483675;-3.2457406642;-3.2848956309;-2.9804366447;0.0273819873;0.0000000000;0.0000000000;0.0000000000;-0.0103202814
0.3913043478;-8.7894264018;-8.5655544206;-8.4571849613;-8.4705392551;-14.1405854142;-2.0439944957;-3.1607222090;-3.2478014519;-3.2844571655;-2.9466633650;0.0273819873;0.0000000000;0.0000000000;0.0000000000;-0.0148714594
0.4012765957;-8.7635365871;-8.5820537160;-8.4563899942;-8.4757159195;-13.7742743654;-2.0608735895;-3.1591875798;-3.2478014519;-3.2828348432;-2.9021901775;0.0296547738;0.0000000000;0.0000000000;0.0000000000;-0.0194088040
0.4112500000;-8.6738049248;-8.5877274054;-8.4490955471;-8.4819544639;-13.3749660117;-2.0830778762;-3.1545613217;-3.2478014519;-3.2848956309;-2.8507843885;0.0307878635;0.0000000000;0.0000000000;0.0000000000;-0.0250639973
0.4212244898;-8.5846571780;-8.5684369628;-8.4495574319;-8.4799364304;-13.0305585087;-2.0999426900;-3.1509444289;-3.2478014519;-3.2873685762;-2.7969010981;0.0319178000;0.0000000000;0.0000000000;0.0000000000;-0.0307034526
0.4312000000;-8.5146629444;-8.5175242716;-8.4592553102;-8.4787314819;-12.6840209331;-2.1201060836;-3.1509444289;-3.2474781911;-3.2914820701;-2.7360391673;0.0330447232;0.0000000000;0.0000000000;0.0000000000;-0.0363278694
0.4411764706;-8.5539793971;-8.4617678698;-8.4793985385;-8.4940664203;-12.2527059217;-2.1365613027;-3.1530052166;-3.2457406642;-3.2935350872;-2.6665007918;0.0352928055;0.0000000000;0.0000000000;0.0000000000;-0.0430599079
0.4511538462;-8.7239629006;-8.4128238184;-8.4982084563;-8.5236129962;-11.8951598171;-2.1505680790;-3.1534718101;-3.2457406642;-3.2948107417;-2.5974479527;0.0364140871;0.0000000000;0.0000000000;0.0000000000;-0.0508946711
0.4611320755;-8.8293238454;-8.3914604102;-8.5359917102;-8.5906317144;-11.5112650124;-2.1629112038;-3.1550660044;-3.2454353623;-3.2951995696;-2.5188932016;0.0375327242;0.0000000000;0.0000000000;0.0000000000;-0.0587109562
0.4711111111;-8.8834010929;-8.4002566572;-8.6007679106;-8.7121148307;-10.9477723998;-2.1752551141;-3.1550660044;-3.2436798765;-3.2927640932;-2.4341649899;0.0386488247;0.0000000000;0.0000000000;0.0000000000;-0.0653954371
0.4810909091;-8.9340551843;-8.4415104847;-8.6765021127;-8.8744790234;-10.5154971110;-2.1900285534;-3.1525636193;-3.2433854782;-3.2890172064;-2.3501811993;0.0397624900;0.0000000000;0.0000000000;0.0000000000;-0.0731769831
0.4910714286;-8.8592079479;-8.4957449303;-8.7739716351;-9.1132894399;-10.0072714152;-2.2064890308;-3.1488836412;-3.2416190887;-3.2869564187;-2.2630341535;0.0408738158;0.0000000000;0.0000000000;0.0000000000;-0.0820514953
0.5010526316;-8.6828412033;-8.5498021409;-8.8721394023;-9.4720404441;-9.5202558804;-2.2205343027;-3.1488836412;-3.2392740544;-3.2841850145;-2.1745574180;0.0419828918;0.0000000000;0.0000000000;0.0000000000;-0.0909080430
0.5110344828;-8.5113312496;-8.5750866902;-8.9589617467;-10.3081423526;-9.0377411835;-2.2332302486;-3.1488836412;-3.2372180845;-3.2735438342;-2.0843645320;0.0430898032;0.0000000000;0.0000000000;0.0000000000;-0.0986423963
0.5210169492;-8.4275977559;-8.5750534363;-9.0249248136;-11.7909597499;-8.5660934400;-2.2493498000;-3.1472350110;-3.2331011662;-3.2584488552;-1.9931251931;0.0441946299;0.0000000000;0.0000000000;0.0000000000;-0.1074650108
0.5310000000;-8.4224059352;-8.5552606947;-9.0707609951;-13.1804454280;-8.0511258393;-2.2613598006;-3.1468228535;-3.2310448829;-3.2378691308;-1.8987962949;0.0452974479;0.0000000000;0.0000000000;-0.0000162896;-0.1151707625
0.5409836066;-8.5455998657;-8.5284416813;-9.1315767976;-14.3496072733;-7.5698845323;-2.2719852264;-3.1464239913;-3.2271935747;-3.2152277105;-1.8079091265;0.0463983288;0.0000000000;0.0000000000;-0.0011145727;-0.1228629796
0.5509677419;-8.7371535507;-8.5225545143;-9.1502321548;-15.2213647838;-6.9223183808;-2.2870491310;-3.1427012780;-3.2248710996;-3.1898704193;-1.7156221351;0.0474973407;0.0000000000;0.0000000000;-0.0032759884;-0.1316391593
0.5609523810;-8.8251337361;-8.5454079189;-9.1508179601;-15.1846176749;-6.4424081866;-2.3028658812;-3.1406404903;-3.2207536131;-3.1586723829;-1.6229991313;0.0485945480;0.0000000000;-0.0010976699;-0.0054499402;-0.1393057070
0.5709375000;-8.7393413631;-8.5392071918;-9.1876652754;-14.9103675365;-5.8844499427;-2.3175935780;-3.1385797026;-3.2163823652;-3.1230445336;-1.5300556235;0.0496900118;0.0000000000;-0.0010976699;-0.0086985325;-0.1469600728
0.5809230769;-8.6093144697;-8.5723681498;-9.2722604930;-14.6586804931;-5.4523891132;-2.3337484245;-3.1382050139;-3.2081469003;-3.0791915473;-1.4380551422;0.0507837902;0.0000000000;-0.0021919095;-0.0130040198;-0.1535108641
0.5909090909;-8.5583634747;-8.5818845277;-9.4608755870;-14.3988069013;-5.1435923938;-2.3457915896;-3.1365189149;-3.1978504181;-3.0253594099;-1.3515999243;0.0518759387;-0.0000897347;-0.0032845184;-0.0173189356;-0.1600518926
0.6008955224;-8.6157002385;-8.5507539605;-10.1069995303;-14.1333416824;-4.7624816804;-2.3543287511;-3.1340944587;-3.1870688255;-2.9671100417;-1.2654448849;0.0529665096;-0.0010020377;-0.0043755491;-0.0227021182;-0.1665834734
0.6108823529;-8.7593043421;-8.5393003270;-11.1466108927;-13.7704475079;-4.2834730938;-2.3663816361;-3.1299781538;-3.1682968589;-2.9029928394;-1.1881187887;0.0540555531;-0.0010020377;-0.0043755491;-0.0291368066;-0.1731059063
0.6208695652;-8.9423435361;-8.5467500777;-12.2802514943;-13.2555180924;-3.9087837289;-2.3749106520;-3.1258616983;-3.1454097419;-2.8321111283;-1.1201853267;0.0540555531;-0.0010020377;-0.0065515938;-0.0355783329;-0.1774482868
0.6308571429;-9.0877236130;-8.5109046714;-13.3807055006;-12.7696949045;-3.5390025956;-2.3852021512;-3.1217450986;-3.1184072030;-2.7538799774;-1.0507695374;0.0551416828;-0.0010020377;-0.0087247690;-0.0430545684;-0.1828691048
0.6408450704;-9.1626338987;-8.4991933400;-14.2245797284;-12.3637530540;-3.1991958096;-2.3975547837;-3.1176283607;-3.0872889859;-2.6709526217;-0.9916396036;0.0562264217;-0.0010855408;-0.0108951617;-0.0494954538;-0.1872002065
0.6508333333;-9.1671168074;-8.4923953868;-14.2828049037;-11.7558340329;-2.9787929430;-2.4096254479;-3.1159110376;-3.0564022634;-2.5841995750;-0.9425139687;0.0573098116;-0.0020040754;-0.0141467015;-0.0580239372;-0.1904444925
0.6608219178;-9.1376540635;-8.4783916759;-14.2005516805;-11.1927595892;-2.8320032274;-2.4202002416;-3.1159110376;-3.0188869237;-2.4915480544;-0.8954401143;0.0573098116;-0.0020040754;-0.0173943111;-0.0655041011;-0.1936848572
0.6708108108;-9.0462009622;-8.4584686048;-13.9145656654;-10.6350442823;-2.6641809601;-2.4304930409;-3.1159110376;-2.9752004519;-2.3983447524;-0.8550895193;0.0583906203;-0.0020040754;-0.0228006334;-0.0740423295;-0.1958425618
0.6808000000;-8.9250410078;-8.4413825120;-13.6259554722;-10.1548479644;-2.4834870197;-2.4428469209;-3.1159110376;-2.9232816168;-2.2971817677;-0.8244777831;0.0583906203;-0.0020040754;-0.0282007770;-0.0836106388;-0.1979978005
0.6907894737;-8.8731052051;-8.3946923407;-13.4286022954;-9.6004821345;-2.4203579346;-2.4505442378;-3.1155898759;-2.8629158902;-2.1942304193;-0.7979798280;0.0583906203;-0.0020821562;-0.0335949161;-0.0921194630;-0.1990742216
0.7007792208;-8.7838248966;-8.3338220718;-13.0655666879;-8.8315841875;-2.3762765207;-2.4567231697;-3.1114724179;-2.7949565599;-2.0889518222;-0.7779209452;0.0594678264;-0.0030061131;-0.0389832173;-0.1006332860;-0.1990742216
0.7107692308;-8.6643245909;-8.2926213386;-12.7097854002;-8.4267242910;-2.3580455298;-2.4611022600;-3.1073548557;-2.7269960482;-1.9816169544;-0.7660913147;0.0594678264;-0.0030061131;-0.0465188900;-0.1101885335;-0.1990742216
0.7207594937;-8.6045079549;-8.2710374172;-12.2652857690;-7.8748559470;-2.4555816683;-2.4690812910;-3.1032371931;-2.6567675329;-1.8727408435;-0.7624914576;0.0605427930;-0.0030061131;-0.0529714088;-0.1197231171;-0.1990742216
0.7307500000;-8.3835240977;-8.3045226281;-11.7871774441;-7.2914473228;-2.5526249378;-2.4734541044;-3.0991194340;-2.5803606478;-1.7656625679;-0.7671218695;0.0605427930;-0.0030061131;-0.0604918193;-0.1282022126;-0.1990742216
0.7407407407;-8.1908731149;-8.3631773431;-11.4028964915;-6.8211520819;-2.7142647614;-2.4816910500;-3.0973639481;-2.5016957699;-1.6588335910;-0.7779222340;0.0605427930;-0.0030061131;-0.0680049001;-0.1366743641;-0.1969324158
0.7507317073;-8.0950666763;-8.4156474631;-10.9068756654;-6.2521111384;-2.9018200222;-2.4940000630;-3.0973639481;-2.4170557118;-1.5556216146;-0.7990145750;0.0616146184;-0.0030061131;-0.0765831187;-0.1451397516;-0.1937227601
0.7607228916;-7.9969237874;-8.4493344976;-10.4809106470;-5.5937796792;-3.1306590066;-2.5022378935;-3.0973639481;-2.3241760209;-1.4531497432;-0.8257870806;0.0626854505;-0.0030776872;-0.0840821036;-0.1535985483;-0.1905160791
0.7707142857;-7.9758377962;-8.4365327554;-9.9512130264;-4.9798430955;-3.3932488423;-2.5127548379;-3.0973639481;-2.2316876370;-1.3543012026;-0.8553481280;0.0626854505;-0.0040081508;-0.0926446232;-0.1620392296;-0.1873122974
0.7807058824;-7.9576518069;-8.3659326783;-9.4500011837;-4.5282628006;-3.6207280683;-2.5228355010;-3.0973639481;-2.1386184038;-1.2600518796;-0.8949569755;0.0626854505;-0.0040081508;-0.1011995876;-0.1694295745;-0.1830443576
0.7906976744;-7.9204422864;-8.2781495448;-8.9270766285;-3.8567893568;-3.8970265648;-2.5288400401;-3.0973639481;-2.0418142639;-1.1717354748;-0.9405008799;0.0637534497;-0.0040081508;-0.1097471835;-0.1768031512;-0.1777140280
0.8006896552;-7.9536508579;-8.2404821121;-8.2823703618;-3.5058769776;-4.0894582782;-2.5352372605;-3.0973639481;-1.9451962665;-1.0898288530;-0.9901616650;0.0648205506;-0.0040081508;-0.1172200395;-0.1831286799;-0.1723881815
0.8106818182;-8.0516503352;-8.2643094199;-7.7631473745;-3.0196167053;-4.3680078143;-2.5434751489;-3.0973639481;-1.8480171796;-1.0118004623;-1.0460002765;0.0658867750;-0.0040081508;-0.1257534307;-0.1894498456;-0.1670667099
0.8206741573;-8.2287238122;-8.3159489089;-7.2617132753;-2.6832003831;-4.7801650018;-2.5517131543;-3.0973639481;-1.7472732177;-0.9392612490;-1.1041242669;0.0669521436;-0.0040081508;-0.1332141555;-0.1957446687;-0.1606860691
0.8306666667;-8.3256301944;-8.3784953746;-6.7127533666;-2.2684179612;-5.1928853956;-2.5601777329;-3.0973639481;-1.6506456743;-0.8518752944;-1.1702556746;0.0669521436;-0.0040081508;-0.1417340107;-0.1999640872;-0.1543104326
0.8406593407;-8.3436038347;-8.4103881004;-6.0988305290;-1.5659207276;-5.6568727079;-2.5725350747;-3.0953031604;-1.5579555188;-0.7184533200;-1.2405046100;0.0680158606;-0.0040081508;-0.1491831684;-0.2051997210;-0.1468778928
0.8506521739;-8.3234796884;-8.3994855160;-5.6963846299;-1.1197546756;-6.1600960093;-2.5828317875;-3.0953031604;-1.4633808736;-0.5976062807;-1.3169319912;0.0690787801;-0.0040081508;-0.1566267421;-0.2083520785;-0.1405119201
0.8606451613;-8.3018561725;-8.3496292252;-5.2380037486;-0.5133942668;-6.6040545114;-2.5949702091;-3.0950400811;-1.3749838769;-0.4664395702;-1.3974771557;0.0701409203;-0.0040081508;-0.1630022706;-0.2114919246;-0.1330903970
0.8706382979;-8.3069097609;-8.3418284782;-4.7182192545;-0.1363696215;-7.0923037243;-2.6034256696;-3.0929820626;-1.2908774299;-0.3821134289;-1.4798625104;0.0712022988;-0.0040081508;-0.1704350526;-0.2135804785;-0.1256741964
0.8806315789;-8.3332465539;-8.3625857950;-4.4207016597;-0.0052475898;-7.5192351865;-2.6135081639;-3.0914391834;-1.2124301105;-0.3480584598;-1.5624634920;0.0712022988;-0.0040081508;-0.1757404569;-0.2146190161;-0.1182632002
0.8906250000;-8.3931551749;-8.4473362752;-4.0097319009;0.0616411192;-7.9893359619;-2.6240201288;-3.0932423727;-1.1348354333;-0.3414534050;-1.6508184378;0.0722622041;-0.0040081508;-0.1810422173;-0.2146190161;-0.1108572940
0.9006185567;-8.4660840942;-8.4970882168;-3.3960074909;-0.0679904209;-8.6009573264;-2.6361680670;-3.0932423727;-1.0690862026;-0.3359504558;-1.7375384490;0.0733213967;-0.0040081508;-0.1863404132;-0.2146190161;-0.1034563671
0.9106122449;-8.4615867263;-8.5460879051;-3.0858848577;-0.5230020762;-9.0401685611;-2.6468840782;-3.0953031604;-1.0072880599;-0.4035397051;-1.8258995549;0.0743798920;-0.0040081508;-0.1905761795;-0.2145989401;-0.0950037332
0.9206060606;-8.4666401937;-8.5790479130;-2.7522583564;-1.0526618875;-9.5572950628;-2.6613012659;-3.0973639481;-0.9456542705;-0.4781027518;-1.9105562983;0.0754377048;-0.0040081508;-0.1948092149;-0.2124959056;-0.0886683451
0.9306000000;-8.4457746665;-8.6006291406;-2.5247112788;-1.6098554738;-10.0383410253;-2.6755145800;-3.0953031604;-0.8925863341;-0.5611055682;-1.9968624962;0.0754377048;-0.0040081508;-0.1963864195;-0.2093480844;-0.0812817272
0.9405940594;-8.3998375632;-8.5952162201;-2.3460349838;-2.5711756988;-10.3758073963;-2.6878733052;-3.0932423727;-0.8452058198;-0.6630483481;-2.0813147853;0.0775506860;-0.0040081508;-0.1979781936;-0.2051662801;-0.0738996802
0.9505882353;-8.3628032706;-8.6054507809;-2.1949396181;-3.0981670741;-11.0526613409;-2.7022929347;-3.0911815849;-0.8022666614;-0.7743960081;-2.1655677748;0.0775506860;-0.0040081508;-0.2010967135;-0.2009769546;-0.0675760485
0.9605825243;-8.3686591605;-8.6459301157;-2.1339017708;-3.3756537663;-11.5133027978;-2.7144537369;-3.0909438017;-0.7677226880;-0.8104047722;-2.2457037909;0.0796611305;-0.0040081508;-0.2021421372;-0.1957454069;-0.0612561757
0.9705769231;-8.4253968284;-8.7470732236;-2.1651067132;-3.8834678968;-11.8417218681;-2.7230856445;-3.0870600095;-0.7431593061;-0.8715169415;-2.3217227022;0.0796611305;-0.0040081508;-0.2031870500;-0.1894915430;-0.0549399857
0.9805714286;-8.4459971116;-8.8951006549;-2.1088950381;-4.3521609422;-12.3346215085;-2.7373093383;-3.0852325185;-0.7250862163;-0.9490121880;-2.3917580082;0.0807151352;-0.0040081508;-0.2042220777;-0.1842558534;-0.0496795018
