Time (s);Fᵧ (N) --sensor: Force --remote: 1 --Run1;Fᵧ (N) --sensor: Force --remote: 1 --Run2;Fᵧ (N) --sensor: Force --remote: 1 --Run3
0.3500000000;-0.4817612816;-0.4104428728;-0.4812917476
0.3600000000;-0.4991334058;-0.4104428728;-0.4643891574
0.3700000000;-0.4995908838;-0.4104428728;-0.4813152556
0.3800000000;-0.4995908838;-0.4104428728;-0.4817612816
0.3900000000;-0.4821860426;-0.4104428728;-0.4643564404
0.4000000000;-0.4991760121;-0.4104428728;-0.4639316794
0.4100000000;-0.4995908838;-0.4104428728;-0.4639316794
0.4200000000;-0.4821576952;-0.4104428728;-0.4813648680
0.4300000000;-0.4817612816;-0.4104428728;-0.4817612816
0.4400000000;-0.4992113550;-0.4104428728;-0.4643112082
0.4500000000;-0.4995908838;-0.4104428728;-0.4813896668
0.4600000000;-0.4995908838;-0.4104428728;-0.4642957036
0.4700000000;-0.4995908838;-0.4104428728;-0.4814045439
0.4800000000;-0.4995908838;-0.4104428728;-0.4817612816
0.4900000000;-0.4995908838;-0.4104428728;-0.4817612816
0.5000000000;-0.4995908838;-0.4104428728;-0.4817612816
0.5100000000;-0.4820915748;-0.4282724750;-0.4817612816
0.5200000000;-0.4992666000;-0.4282724750;-0.4817612816
0.5300000000;-0.4820797707;-0.4104428728;-0.4642501685
0.5400000000;-0.4992779857;-0.4104428728;-0.4814483835
0.5500000000;-0.4995908838;-0.4104428728;-0.4817612816
0.5600000000;-0.4995908838;-0.4282724750;-0.4817612816
0.5700000000;-0.4995908838;-0.4104428728;-0.4817612816
0.5800000000;-0.4995908838;-0.4282724750;-0.4817612816
0.5900000000;-0.4995908838;-0.4104428728;-0.4817612816
0.6000000000;-0.4995908838;-0.4104428728;-0.4817612816
0.6100000000;-0.4995908838;-0.4282724750;-0.4817612816
0.6200000000;-0.4820356491;-0.4104428728;-0.4817612816
0.6300000000;-0.4993206753;-0.4282724750;-0.4817612816
0.6400000000;-0.5171543123;-0.4282724750;-0.4817612816
0.6500000000;-0.4998531414;-0.4104428728;-0.4817612816
0.6600000000;-0.4995908838;-0.4104428728;-0.4817612816
0.6700000000;-0.4820160429;-0.4104428728;-0.4817612816
0.6800000000;-0.4993397121;-0.4282724750;-0.4817612816
0.6900000000;-0.4995908838;-0.4104428728;-0.4817612816
0.7000000000;-0.4995908838;-0.4104428728;-0.4817612816
0.7100000000;-0.4995908838;-0.4104428728;-0.4817612816
0.7200000000;-0.4995908838;-0.4282724750;-0.4817612816
0.7300000000;-0.4995908838;-0.4104428728;-0.4817612816
0.7400000000;-0.4995908838;-0.4104428728;-0.4817612816
0.7500000000;-0.5171918632;-0.4104428728;-0.4817612816
0.7600000000;-0.4998166116;-0.4104428728;-0.4641574072
0.7700000000;-0.4995908838;-0.4104428728;-0.4815383763
0.7800000000;-0.4995908838;-0.4104428728;-0.4817612816
0.7900000000;-0.4995908838;-0.4282724750;-0.4817612816
0.8000000000;-0.4819761276;-0.4104428728;-0.4817612816
0.8100000000;-0.4993785961;-0.4104428728;-0.4817612816
0.8200000000;-0.4995908838;-0.4104428728;-0.4993810944
0.8300000000;-0.4995908838;-0.4104428728;-0.4819686309
0.8400000000;-0.4995908838;-0.4104428728;-0.4817612816
0.8500000000;-0.4995908838;-0.4104428728;-0.4817612816
0.8600000000;-0.4995908838;-0.4104428728;-0.4993905256
0.8700000000;-0.4995908838;-0.4104428728;-0.4819594130
0.8800000000;-0.4995908838;-0.4104428728;-0.4817612816
0.8900000000;-0.4995908838;-0.4282724750;-0.4817612816
0.9000000000;-0.4819530201;-0.4104428728;-0.4817612816
0.9100000000;-0.4994011854;-0.4282724750;-0.4817612816
0.9200000000;-0.4819489826;-0.4104428728;-0.4817612816
0.9300000000;-0.4994051384;-0.4104428728;-0.4641174248
0.9400000000;-0.4995908838;-0.4104428728;-0.4815774515
0.9500000000;-0.4995908838;-0.4104428728;-0.4817612816
0.9600000000;-0.4995908838;-0.4104428728;-0.4817612816
0.9700000000;-0.4995908838;-0.4282724750;-0.4817612816
0.9800000000;-0.4995908838;-0.4104428728;-0.4817612816
0.9900000000;-0.4995908838;-0.4282724750;-0.4817612816
1.0000000000;-0.4995908838;-0.4104428728;-0.4817612816
1.0100000000;-0.4995908838;-0.4104428728;-0.4817612816
1.0200000000;-0.4995908838;-0.4104428728;-0.4817612816
1.0300000000;-0.4995908838;-0.4104428728;-0.4817612816
1.0400000000;-0.4995908838;-0.4282724750;-0.4817612816
1.0500000000;-0.4995908838;-0.4104428728;-0.4817612816
1.0600000000;-0.4995908838;-0.4104428728;-0.4817612816
1.0700000000;-0.4995908838;-0.4282724750;-0.4817612816
1.0800000000;-0.4995908838;-0.4104428728;-0.4817612816
1.0900000000;-0.4995908838;-0.4104428728;-0.4817612816
1.1000000000;-0.4995908838;-0.4104428728;-0.4817612816
1.1100000000;-0.4995908838;-0.4282724750;-0.4817612816
1.1200000000;-0.4995908838;-0.4104428728;-0.4994358319
1.1300000000;-0.4995908838;-0.4104428728;-0.4819149966
1.1400000000;-0.4995908838;-0.4104428728;-0.4817612816
1.1500000000;-0.4995908838;-0.4104428728;-0.4817612816
1.1600000000;-0.4995908838;-0.4104428728;-0.4640815186
1.1700000000;-0.4995908838;-0.4104428728;-0.4816126911
1.1800000000;-0.4995908838;-0.4104428728;-0.4817612816
1.1900000000;-0.4995908838;-0.4282724750;-0.4817612816
1.2000000000;-0.4995908838;-0.4104428728;-0.4817612816
1.2100000000;-0.5172766894;-0.4104428728;-0.4817612816
1.2200000000;-0.4997335298;-0.4104428728;-0.4817612816
1.2300000000;-0.4995908838;-0.4104428728;-0.4817612816
1.2400000000;-0.4995908838;-0.4104428728;-0.4640720787
1.2500000000;-0.4995908838;-0.4282724750;-0.4816219792
1.2600000000;-0.4995908838;-0.4104428728;-0.4817612816
1.2700000000;-0.4995908838;-0.4104428728;-0.4817612816
1.2800000000;-0.5172843741;-0.4104428728;-0.4817612816
1.2900000000;-0.4997259643;-0.4104428728;-0.4817612816
1.3000000000;-0.4818953464;-0.4104428728;-0.4817612816
1.3100000000;-0.4994578196;-0.4104428728;-0.4817612816
1.3200000000;-0.4995908838;-0.4104428728;-0.4817612816
1.3300000000;-0.4995908838;-0.4104428728;-0.4817612816
1.3400000000;-0.4995908838;-0.4104428728;-0.4817612816
1.3500000000;-0.4995908838;-0.4104428728;-0.4817612816
1.3600000000;-0.4995908838;-0.4104428728;-0.4817612816
1.3700000000;-0.4995908838;-0.4104428728;-0.4817612816
1.3800000000;-0.4995908838;-0.4104428728;-0.4640581369
1.3900000000;-0.4995908838;-0.4282724750;-0.4816357147
1.4000000000;-0.4995908838;-0.4104428728;-0.4817612816
1.4100000000;-0.4995908838;-0.4104428728;-0.4817612816
1.4200000000;-0.5172975173;-0.4104428728;-0.4817612816
1.4300000000;-0.5174204860;-0.4104428728;-0.4817612816
1.4400000000;-0.4997121792;-0.4104428728;-0.4817612816
1.4500000000;-0.4995908838;-0.4104428728;-0.4817612816
1.4600000000;-0.4995908838;-0.4104428728;-0.4817612816
1.4700000000;-0.4995908838;-0.4104428728;-0.4817612816
1.4800000000;-0.5173024039;-0.4104428728;-0.4817612816
1.4900000000;-0.4997081889;-0.4104428728;-0.4817612816
1.5000000000;-0.4995908838;-0.4104428728;-0.4817612816
1.5100000000;-0.4995908838;-0.4104428728;-0.4994751022
1.5200000000;-0.4995908838;-0.4104428728;-0.4818763161
1.5300000000;-0.4995908838;-0.3926132706;-0.4817612816
1.5400000000;-0.4995908838;-0.4104428728;-0.4817612816
1.5500000000;-0.5173076358;-0.4104428728;-0.4817612816
1.5600000000;-0.4997030241;-0.4282724750;-0.4817612816
1.5700000000;-0.4995908838;-0.4104428728;-0.4817612816
1.5800000000;-0.4995908838;-0.4282724750;-0.4817612816
1.5900000000;-0.5173104225;-0.4104428728;-0.4640417429
1.6000000000;-0.4997002720;-0.4104428728;-0.4816518934
1.6100000000;-0.4995908838;-0.4104428728;-0.4817612816
1.6200000000;-0.4995908838;-0.4104428728;-0.4817612816
1.6300000000;-0.5173130748;-0.4104428728;-0.4817612816
1.6400000000;-0.4996976517;-0.4104428728;-0.4640384473
1.6500000000;-0.4995908838;-0.4104428728;-0.4816551492
1.6600000000;-0.4995908838;-0.4104428728;-0.4817612816
1.6700000000;-0.4995908838;-0.4104428728;-0.4817612816
1.6800000000;-0.5173162157;-0.4104428728;-0.4817612816
1.6900000000;-0.5174204860;-0.4104428728;-0.4817612816
1.7000000000;-0.4996939485;-0.4104428728;-0.4640347441
1.7100000000;-0.4995908838;-0.4104428728;-0.4816588092
1.7200000000;-0.4995908838;-0.4104428728;-0.4817612816
1.7300000000;-0.4995908838;-0.4104428728;-0.4817612816
1.7400000000;-0.4995908838;-0.3926132706;-0.4640324148
1.7500000000;-0.5173203165;-0.4104428728;-0.4639316794
1.7600000000;-0.4996904936;-0.4104428728;-0.4639316794
1.7700000000;-0.5173214295;-0.4104428728;-0.4816622252
1.7800000000;-0.5174204860;-0.4104428728;-0.4640301885
1.7900000000;-0.5174204860;-0.4104428728;-0.4639316794
1.8000000000;-0.4996883162;-0.4104428728;-0.4639316794
1.8100000000;-0.4995908838;-0.4104428728;-0.4816643787
1.8200000000;-0.4995908838;-0.4104428728;-0.4817612816
1.8300000000;-0.5173246251;-0.4104428728;-0.4640275402
1.8400000000;-0.5174204860;-0.4104428728;-0.4639316794
1.8500000000;-0.4996857248;-0.4104428728;-0.4639316794
1.8600000000;-0.5173261468;-0.4104428728;-0.4816669424
1.8700000000;-0.5174204860;-0.3926132706;-0.4817612816
1.8800000000;-0.5174204860;-0.4104428728;-0.4640250307
1.8900000000;-0.5174204860;-0.4104428728;-0.4816684165
1.9000000000;-0.5174204860;-0.4104428728;-0.4817612816
1.9100000000;-0.5174204860;-0.4104428728;-0.4817612816
1.9200000000;-0.4996823200;-0.3926132706;-0.4640231157
1.9300000000;-0.5172376182;-0.4104428728;-0.4639316794
1.9400000000;-0.5085736231;-0.4104428728;-0.4639316794
1.9500000000;-0.4996360232;-0.4104428728;-0.4816712308
1.9600000000;-0.4995908838;-0.4104428728;-0.4817612816
1.9700000000;-0.5173313357;-0.4282724750;-0.4817612816
1.9800000000;-0.5174204860;-0.4104428728;-0.4640203861
1.9900000000;-0.4996791513;-0.4104428728;-0.4639316794
2.0000000000;-0.4995908838;-0.4104428728;-0.4639316794
2.0100000000;-0.4995908838;-0.4104428728;-0.4639316794
2.0200000000;-0.5173335102;-0.4104428728;-0.4816743058
2.0300000000;-0.4996774373;-0.4104428728;-0.4817612816
2.0400000000;-0.4995908838;-0.4104428728;-0.4817612816
2.0500000000;-0.4995908838;-0.4104428728;-0.4640174006
2.0600000000;-0.4995908838;-0.4104428728;-0.4816759705
2.0700000000;-0.5173355812;-0.4104428728;-0.4817612816
2.0800000000;-0.4996753862;-0.4104428728;-0.4817612816
2.0900000000;-0.5173363822;-0.3926132706;-0.4640157832
2.1000000000;-0.5174204860;-0.4104428728;-0.4816775727
2.1100000000;-0.5174204860;-0.4104428728;-0.4640149971
2.1200000000;-0.4996738139;-0.4104428728;-0.4639316794
2.1300000000;-0.5173379397;-0.4104428728;-0.4816787353
2.1400000000;-0.5174204860;-0.4104428728;-0.4817612816
2.1500000000;-0.5174204860;-0.4104428728;-0.4640134683
2.1600000000;-0.4996722992;-0.3926132706;-0.4816798662
2.1700000000;-0.5173394406;-0.4104428728;-0.4640127247
2.1800000000;-0.5174204860;-0.4104428728;-0.4639316794
2.1900000000;-0.5174204860;-0.4104428728;-0.4816809664
2.2000000000;-0.5174204860;-0.4104428728;-0.4817612816
2.2100000000;-0.5174204860;-0.4104428728;-0.4817612816
2.2200000000;-0.4996701280;-0.4104428728;-0.4640109236
2.2300000000;-0.5173415924;-0.4104428728;-0.4816823880
2.2400000000;-0.5174204860;-0.4104428728;-0.4817612816
2.2500000000;-0.5174204860;-0.4104428728;-0.4640098809
2.2600000000;-0.5174204860;-0.4104428728;-0.4816834216
2.2700000000;-0.4996684052;-0.4104428728;-0.4817612816
2.2800000000;-0.5173433001;-0.4104428728;-0.4640088653
2.2900000000;-0.5174204860;-0.3926132706;-0.4816844284
2.3000000000;-0.4996674071;-0.4104428728;-0.4640082027
2.3100000000;-0.5173442897;-0.4104428728;-0.4816850853
2.3200000000;-0.5174204860;-0.4104428728;-0.4817612816
2.3300000000;-0.5174204860;-0.4104428728;-0.4640072299
2.3400000000;-0.4996661155;-0.4104428728;-0.4816860498
2.3500000000;-0.4995908838;-0.4104428728;-0.4640065950
2.3600000000;-0.4995908838;-0.4282724750;-0.4639316794
2.3700000000;-0.5173461947;-0.4104428728;-0.4639316794
2.3800000000;-0.4996648668;-0.4104428728;-0.4639316794
2.3900000000;-0.5173468087;-0.4104428728;-0.4639316794
2.4000000000;-0.4996642579;-0.4104428728;-0.4639316794
2.4100000000;-0.4995908838;-0.4104428728;-0.4639316794
2.4200000000;-0.5173477109;-0.4282724750;-0.4639316794
2.4300000000;-0.5174204860;-0.4282724750;-0.4639316794
2.4400000000;-0.4996630696;-0.4282724750;-0.4639316794
2.4500000000;-0.5173485912;-0.4104428728;-0.4816893868
2.4600000000;-0.4996624898;-0.4104428728;-0.4640032854
2.4700000000;-0.5173491664;-0.4282724750;-0.4639316794
2.4800000000;-0.5174204860;-0.4104428728;-0.4639316794
2.4900000000;-0.5174204860;-0.4282724750;-0.4639316794
2.5000000000;-0.5174204860;-0.4282724750;-0.4816908077
2.5100000000;-0.4996610801;-0.4282724750;-0.4817612816
2.5200000000;-0.5351102460;-0.4104428728;-0.4817612816
2.5300000000;-0.4997301797;-0.4104428728;-0.4817612816
2.5400000000;-0.4995908838;-0.4104428728;-0.4817612816
2.5500000000;-0.5173513779;-0.4282724750;-0.4640007874
2.5600000000;-0.5174204860;-0.4104428728;-0.4816924404
2.5700000000;-0.4996594602;-0.4104428728;-0.4640002558
2.5800000000;-0.5351134608;-0.4104428728;-0.4816929679
2.5900000000;-0.5174885389;-0.4282724750;-0.4639997323
2.6000000000;-0.4996586779;-0.4282724750;-0.4816934874
2.6100000000;-0.4995908838;-0.4282724750;-0.4639992167
2.6200000000;-0.5173532035;-0.4282724750;-0.4816939991
2.6300000000;-0.5174204860;-0.4104428728;-0.4639987089
2.6400000000;-0.4996576622;-0.4104428728;-0.4639316794
2.6500000000;-0.4995908838;-0.4282724750;-0.4639316794
2.6600000000;-0.4995908838;-0.4104428728;-0.4816949996
2.6700000000;-0.5173544495;-0.4104428728;-0.4817612816
2.6800000000;-0.5174204860;-0.4104428728;-0.4817612816
2.6900000000;-0.4996564347;-0.4104428728;-0.4817612816
2.7000000000;-0.5173551752;-0.4104428728;-0.4639969902
2.7100000000;-0.5174204860;-0.4104428728;-0.4639316794
2.7200000000;-0.5174204860;-0.4104428728;-0.4816964458
2.7300000000;-0.5174204860;-0.4104428728;-0.4817612816
2.7400000000;-0.5174204860;-0.4282724750;-0.4817612816
2.7500000000;-0.5174204860;-0.4104428728;-0.4817612816
2.7600000000;-0.5174204860;-0.4104428728;-0.4817612816
2.7700000000;-0.4996545617;-0.4104428728;-0.4817612816
2.7800000000;-0.4995908838;-0.4104428728;-0.4639951307
2.7900000000;-0.4995908838;-0.4282724750;-0.4639316794
2.8000000000;-0.4995908838;-0.4104428728;-0.4816982787
2.8100000000;-0.5173577049;-0.4104428728;-0.4817612816
2.8200000000;-0.4996534445;-0.4104428728;-0.4817612816
2.8300000000;-0.5173581439;-0.4104428728;-0.4817612816
2.8400000000;-0.5174204860;-0.4282724750;-0.4639938042
2.8500000000;-0.4996527929;-0.4104428728;-0.4816993725
2.8600000000;-0.5173587911;-0.4104428728;-0.4817612816
2.8700000000;-0.4818842458;-0.4282724750;-0.4817612816
2.8800000000;-0.4817612816;-0.3926132706;-0.4817612816
2.8900000000;-0.4639927404;-0.3926132706;-0.4817612816
2.9000000000;-0.4639316794;-0.4104428728;-0.4639925320
2.9100000000;-0.4994695925;-0.4282724750;-0.4639316794
2.9200000000;-0.4818217216;-0.4282724750;-0.4639316794
2.9300000000;-0.4639919152;-0.4282724750;-0.4817010457
2.9400000000;-0.4461621102;-0.4282724750;-0.4817612816
2.9500000000;-0.4461020772;-0.4282724750;-0.4639915109
2.9600000000;-0.4461020772;-0.3926132706;-0.4639316794
2.9700000000;-0.4283319077;-0.3747836684;-0.4639316794
2.9800000000;-0.4282724750;-0.3747836684;-0.4817020464
2.9900000000;-0.4105019119;-0.3747836684;-0.4817612816
3.0000000000;-0.4282136308;-0.3569540662;-0.4639905236
3.0100000000;-0.4638143781;-0.3569540662;-0.4817026309
3.0200000000;-0.4817028232;-0.3926132706;-0.4639901377
3.0300000000;-0.4817612816;-0.3926132706;-0.4817030143
3.0400000000;-0.4817612816;-0.4104428728;-0.4817612816
3.0500000000;-0.4284461418;-0.4104428728;-0.4639895683
3.0600000000;-0.4105005744;-0.4104428728;-0.4639316794
3.0700000000;-0.3571266126;-0.4104428728;-0.4639316794
3.0800000000;-0.3924986096;-0.4104428728;-0.4817039511
3.0900000000;-0.4103857261;-0.4104428728;-0.4817612816
3.1000000000;-0.4282155108;-0.4104428728;-0.4817612816
3.1100000000;-0.4638181139;-0.4104428728;-0.4817612816
3.1200000000;-0.4817046791;-0.4282724750;-0.4817612816
3.1300000000;-0.4817612816;-0.4104428728;-0.4817612816
3.1400000000;-0.4995346384;-0.4104428728;-0.4639879247
3.1500000000;-0.4640438164;-0.4104428728;-0.4817052131
3.1600000000;-0.4639316794;-0.4104428728;-0.4817612816
3.1700000000;-0.4639316794;-0.4282724750;-0.4817612816
3.1800000000;-0.4461576217;-0.4461020772;-0.4639872239
3.1900000000;-0.4638763074;-0.4461020772;-0.4817059096
3.2000000000;-0.4817060810;-0.4461020772;-0.4639868799
3.2100000000;-0.4817612816;-0.4461020772;-0.4817062514
3.2200000000;-0.4462117989;-0.4461020772;-0.4639865402
3.2300000000;-0.4461020772;-0.4461020772;-0.4283818601
3.2400000000;-0.4461020772;-0.4461020772;-0.4282724750
3.2500000000;-0.4638773203;-0.4282724750;-0.4282724750
3.2600000000;-0.4639316794;-0.4282724750;-0.4460478834
3.2700000000;-0.4461561068;-0.4461020772;-0.4638776498
3.2800000000;-0.4283263414;-0.4461020772;-0.4639316794
3.2900000000;-0.4104965769;-0.4461020772;-0.4639316794
3.3000000000;-0.3748907541;-0.4461020772;-0.4639316794
3.3100000000;-0.3747836684;-0.4282724750;-0.4817078990
3.3200000000;-0.3747836684;-0.4461020772;-0.4639849025
3.3300000000;-0.3747836684;-0.4995908838;-0.4639316794
3.3400000000;-0.4103370582;-0.5174204860;-0.4817083743
3.3500000000;-0.4104428728;-0.5174204860;-0.4639844301
3.3600000000;-0.4282198798;-0.5174204860;-0.4639316794
3.3700000000;-0.4104953133;-0.5174204860;-0.4639316794
3.3800000000;-0.4104428728;-0.4995908838;-0.4817089949
3.3900000000;-0.4104428728;-0.4995908838;-0.4817612816
3.4000000000;-0.3926652524;-0.4995908838;-0.4817612816
3.4100000000;-0.4103910421;-0.5174204860;-0.4639835101
3.4200000000;-0.4282207946;-0.4995908838;-0.4817096011
3.4300000000;-0.4282724750;-0.4995908838;-0.4639832105
3.4400000000;-0.4460506946;-0.4995908838;-0.4639316794
3.4500000000;-0.4461020772;-0.4995908838;-0.4639316794
3.4600000000;-0.4461020772;-0.4817612816;-0.4817101935
3.4700000000;-0.4461020772;-0.4817612816;-0.4817612816
3.4800000000;-0.4816596876;-0.4461020772;-0.4817612816
3.4900000000;-0.4639823321;-0.4817612816;-0.4817612816
3.5000000000;-0.4817107724;-0.4817612816;-0.4817612816
3.5100000000;-0.5706574600;-0.4817612816;-0.4817612816
3.5200000000;-0.7131443130;-0.4639316794;-0.4817612816
3.5300000000;-0.7846641846;-0.4995908838;-0.4817612816
3.5400000000;-0.8204238367;-0.3747836684;-0.4639816226
3.5500000000;-0.6606566179;-0.3034652596;-0.4994912763
3.5600000000;-0.6067920931;-0.3391244640;-0.4818109466
3.5700000000;-0.5532284782;-0.3569540662;-0.4817612816
3.5800000000;-0.4641786287;-0.3391244640;-0.4639810692
3.5900000000;-0.4105906331;-0.3212948618;-0.4639316794
3.6000000000;-0.3748819039;-0.3212948618;-0.4639316794
3.6100000000;-0.3925642878;-0.3569540662;-0.4639316794
3.6200000000;-0.4281747778;-0.3747836684;-0.4639316794
3.6300000000;-0.4460533621;-0.4104428728;-0.4461507923
3.6400000000;-0.4638830970;-0.4282724750;-0.4283210574
3.6500000000;-0.4461505276;-0.4639316794;-0.4638347786
3.6600000000;-0.4105395109;-0.4995908838;-0.4639316794
3.6700000000;-0.3748800454;-0.4995908838;-0.4639316794
3.6800000000;-0.3036574940;-0.5352500881;-0.4639316794
3.6900000000;-0.2501202412;-0.5174204860;-0.4461500066
3.7000000000;-0.2321946518;-0.5174204860;-0.4461020772
3.7100000000;-0.2143649218;-0.4995908838;-0.4283201481
3.7200000000;-0.2143646675;-0.4817612816;-0.4282250562
3.7200533333;-0.2321468509;-0.4817612816;-0.4104428728
3.7300266667;-0.2143645424;-0.4639316794;-0.4104428728
3.7500000000;-0.2143172487;-0.4461020772;-0.3926604392
3.7600000000;-0.2498823648;-0.4639316794;-0.3926132706
3.7700000000;-0.2855418168;-0.4639316794;-0.4103959525
3.7800000000;-0.3745496825;-0.4639316794;-0.3926600678
3.7900000000;-0.4459153785;-0.4639316794;-0.4103961981
3.8000000000;-0.5172342747;-0.4461020772;-0.4104428728
3.8100000000;-0.5352036566;-0.4461020772;-0.3926597022
3.8200000000;-0.4996835057;-0.5530796903;-0.3926132706
3.8300000000;-0.4106738278;-0.5530796903;-0.4103966818
3.8400000000;-0.3393087506;-0.5887388947;-0.4282264034
3.8500000000;-0.3213408147;-0.5887388947;-0.4104888257
3.8600000000;-0.3568623967;-0.5887388947;-0.4282266402
3.8700000000;-0.3747379512;-0.5887388947;-0.4282724750
3.8800000000;-0.3036476609;-0.6065684969;-0.4282724750
3.8900000000;-0.2501129050;-0.6243980991;-0.4282724750
3.9000000000;-0.1966237512;-0.6422277013;-0.4282724750
3.9100000000;-0.1431345992;-0.6422277013;-0.4282724750
3.9200000000;-0.1074299126;-0.6243980991;-0.4282724750
3.9300000000;-0.0717704802;-0.6243980991;-0.4282724750
3.9400000000;-0.0538957401;-0.5887388947;-0.4460571661
3.9500000000;-0.0360660250;-0.5709092925;-0.4283172733
3.9600000000;-0.0538061430;-0.5530796903;-0.4282724750
3.9700000000;-0.0894208848;-0.5530796903;-0.4104874471
3.9800000000;-0.1250803115;-0.5709092925;-0.4104428728
3.9900000000;-0.2318807358;-0.5887388947;-0.4282281225
4.0000000000;-0.3210736495;-0.5887388947;-0.4282724750
4.0100000000;-0.3746512696;-0.6065684969;-0.4460579442
4.0200000000;-0.4103548248;-0.6243980991;-0.4105309208
4.0300000000;-0.4282285595;-0.6422277013;-0.4282285595
4.0400000000;-0.4104866804;-0.6422277013;-0.4282724750
4.0500000000;-0.3748710690;-0.6778869057;-0.4282724750
4.0600000000;-0.3569976596;-0.7492053145;-0.4282724750
4.0700000000;-0.3747401813;-0.8205237232;-0.4104863599
4.0800000000;-0.3925698893;-0.8383533254;-0.4282290937
4.0900000000;-0.3926132706;-0.8561829276;-0.4282724750
4.1000000000;-0.3926132706;-0.8918421320;-0.4104860440
4.1100000000;-0.3748267353;-0.8918421320;-0.4104428728
4.1200000000;-0.2680638341;-0.9096717342;-0.4104428728
4.1300000000;-0.1788723436;-0.8918421320;-0.4104428728
4.1400000000;-0.3031659600;-0.8918421320;-0.4282297179
4.1500000000;-0.2145305227;-0.9275013364;-0.4104855276
4.1600000000;-0.3032524947;-0.9275013364;-0.4282299220
4.1700000000;-0.2501038081;-0.9809901430;-0.4104853245
4.1800000000;-0.2144019504;-1.0166493473;-0.4104428728
4.1900000000;-0.1609551935;-0.9809901430;-0.4104428728
4.2000000000;-0.0896786357;-0.9275013364;-0.4104428728
4.2100000000;0.0172152727;-0.8740125298;-0.4104428728
4.2200000000;0.0708305297;-0.7313757123;-0.4282305228
4.2300000000;0.0353808895;-0.5530796903;-0.4282724750
4.2400000000;-0.0714298967;-0.3569540662;-0.4282724750
4.2500000000;-0.1961960393;-0.1964876465;-0.4460604190
4.2600000000;-0.2498517699;-0.0360212268;-0.4283140361
4.2700000000;-0.2499764531;0.0887859886;-0.4460606128
4.2800000000;-0.2677646871;0.1601043974;-0.4461020772
4.2900000000;-0.2500177255;0.3027412149;-0.4461020772
4.3000000000;-0.2143996029;0.3918892259;-0.4461020772
4.3100000000;-0.1787402088;0.4097188280;-0.4461020772
4.3200000000;-0.1608694299;0.3740596237;-0.4283134628
4.3300000000;-0.1786171505;0.3027412149;-0.4460611834
4.3400000000;-0.1964468463;0.1957636017;-0.4461020772
4.3500000000;-0.1253320660;0.1244451930;-0.4461020772
4.3600000000;-0.0362242985;0.0709563864;-0.4461020772
4.3700000000;0.1240804947;-0.0360212268;-0.4461020772
4.3800000000;0.3557044296;-0.1608284421;-0.4461020772
4.3900000000;0.5163333931;-0.4639316794;-0.4461020772
4.4000000000;0.5522751504;-0.6422277013;-0.4461020772
4.4100000000;0.4456189742;-0.7492053145;-0.4461020772
4.4200000000;0.1963245359;-0.8205237232;-0.4638916127
4.4300000000;-0.1422392790;-0.8561829276;-0.4817213047
4.4400000000;-0.4632137052;-0.8561829276;-0.4817612816
4.4500000000;-0.6951991284;-0.7313757123;-0.5173408891
